"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","445","Alert Demo","chromium","Fri Nov 14 05:23:56 UTC 2025","passed","Fri Nov 14 05:23:56 UTC 2025","","hooksandgroups.spec.js","",""
"","858","has title","webkit","Fri Nov 14 05:26:37 UTC 2025","passed","Fri Nov 14 05:26:38 UTC 2025","","example.spec.js","",""
"","8758","test","chromium","Fri Nov 14 05:23:46 UTC 2025","passed","Fri Nov 14 05:23:55 UTC 2025","","book_store.spec.js","",""
"","611","Incorrect password test","chromium","Fri Nov 14 05:23:58 UTC 2025","passed","Fri Nov 14 05:23:59 UTC 2025","","login.spec.js","",""
"","6596","Add record","webkit","Fri Nov 14 05:27:16 UTC 2025","passed","Fri Nov 14 05:27:22 UTC 2025","","webtable.spec.js","",""
"","654","Incorrect user test","chromium","Fri Nov 14 05:23:57 UTC 2025","passed","Fri Nov 14 05:23:58 UTC 2025","","login.spec.js","",""
"","902","Google Search","chromium","Fri Nov 14 05:24:02 UTC 2025","failed","Fri Nov 14 05:24:03 UTC 2025","","Searchingoogle.spec.js","",""
"","1619","demo login test","webkit","Fri Nov 14 05:26:40 UTC 2025","passed","Fri Nov 14 05:26:42 UTC 2025","","login.spec.js","",""
"","697","Alert Demo","firefox","Fri Nov 14 05:25:58 UTC 2025","passed","Fri Nov 14 05:25:58 UTC 2025","","hooksandgroups.spec.js","",""
"","773","Incorrect password test","firefox","Fri Nov 14 05:26:00 UTC 2025","passed","Fri Nov 14 05:26:01 UTC 2025","","login.spec.js","",""
"","559","has title","firefox","Fri Nov 14 05:25:56 UTC 2025","passed","Fri Nov 14 05:25:57 UTC 2025","","example.spec.js","",""
"","7168","go to site","firefox","Fri Nov 14 05:25:41 UTC 2025","passed","Fri Nov 14 05:25:48 UTC 2025","","8ther@te/gotosite.spec.js","",""
"","7627","test","firefox","Fri Nov 14 05:25:49 UTC 2025","passed","Fri Nov 14 05:25:56 UTC 2025","","book_store.spec.js","",""
"","1001","Incorrect password test","webkit","Fri Nov 14 05:26:44 UTC 2025","passed","Fri Nov 14 05:26:45 UTC 2025","","login.spec.js","",""
"","1012","Alert Demo","webkit","Fri Nov 14 05:26:39 UTC 2025","passed","Fri Nov 14 05:26:40 UTC 2025","","hooksandgroups.spec.js","",""
"","1078","demo login test","firefox","Fri Nov 14 05:25:58 UTC 2025","passed","Fri Nov 14 05:25:59 UTC 2025","","login.spec.js","",""
"","1562","Incorrect user test","webkit","Fri Nov 14 05:26:42 UTC 2025","passed","Fri Nov 14 05:26:44 UTC 2025","","login.spec.js","",""
"","595","get started link","chromium","Fri Nov 14 05:23:55 UTC 2025","passed","Fri Nov 14 05:23:56 UTC 2025","","example.spec.js","",""
"","9940","go to site","webkit","Fri Nov 14 05:26:18 UTC 2025","passed","Fri Nov 14 05:26:28 UTC 2025","","8ther@te/gotosite.spec.js","",""
"","424","has title","chromium","Fri Nov 14 05:23:55 UTC 2025","passed","Fri Nov 14 05:23:55 UTC 2025","","example.spec.js","",""
"","31711","Add record","chromium","Fri Nov 14 05:25:09 UTC 2025","broken","Fri Nov 14 05:25:40 UTC 2025","","webtable.spec.js","",""
"","830","demo login test","chromium","Fri Nov 14 05:23:56 UTC 2025","passed","Fri Nov 14 05:23:57 UTC 2025","","login.spec.js","",""
"","1804","Google Search","firefox","Fri Nov 14 05:26:07 UTC 2025","failed","Fri Nov 14 05:26:09 UTC 2025","","Searchingoogle.spec.js","",""
"","1690","Google Search","webkit","Fri Nov 14 05:26:51 UTC 2025","failed","Fri Nov 14 05:26:53 UTC 2025","","Searchingoogle.spec.js","",""
"","871","Incorrect user test","firefox","Fri Nov 14 05:25:59 UTC 2025","passed","Fri Nov 14 05:26:00 UTC 2025","","login.spec.js","",""
"","5200","Add record","firefox","Tue Nov 11 09:11:56 UTC 2025","passed","Tue Nov 11 09:12:01 UTC 2025","","8ther@te\gotosite.spec.js","",""
"","3873","Add record","chromium","Tue Nov 11 09:12:31 UTC 2025","passed","Tue Nov 11 09:12:35 UTC 2025","","8ther@te\gotosite.spec.js","",""
"","7669","go to site","chromium","Fri Nov 14 05:23:37 UTC 2025","passed","Fri Nov 14 05:23:45 UTC 2025","","8ther@te/gotosite.spec.js","",""
"","6499","Add record","firefox","Fri Nov 14 05:26:10 UTC 2025","passed","Fri Nov 14 05:26:17 UTC 2025","","webtable.spec.js","",""
"","8334","test","webkit","Fri Nov 14 05:26:29 UTC 2025","passed","Fri Nov 14 05:26:37 UTC 2025","","book_store.spec.js","",""
"","5886","Add record","webkit","Tue Nov 11 09:11:56 UTC 2025","passed","Tue Nov 11 09:12:02 UTC 2025","","8ther@te\gotosite.spec.js","",""
"","805","get started link","firefox","Fri Nov 14 05:25:57 UTC 2025","passed","Fri Nov 14 05:25:58 UTC 2025","","example.spec.js","",""
"","1541","get started link","webkit","Fri Nov 14 05:26:38 UTC 2025","passed","Fri Nov 14 05:26:39 UTC 2025","","example.spec.js","",""
